key, motion, time
y, hl1, 703
y, hr2, 467
p, vb1, 800
p, vt2, 667
r, vt1, 750
c, hl1, 755
c, vb2, 444
u, dd1, 1068
u, dd1, 1384
i, vb1, 395
o, vb1, 673
n, hr1, 690
s, hl1, 1014
h, hl1, 1214
p, vb1, 1358
p, vt2, 910
o, vb1, 507
p, vb1, 545
p, vt2, 597
n, hr1, 742
i, vb1, 251
s, hl1, 1168
m, hr1, 813
m, vb2, 535
i, vb1, 394
g, vb1, 787
g, hl2, 466
h, hl1, 748
i, vb1, 354
r, vt1, 846
h, hl1, 864
n, hr1, 468
h, hl1, 853
s, hl1, 774
w, vt1, 1172
w, vb2, 467
o, vb1, 427
r, vt1, 723
d, da1, 1935
s, hl1, 2034
g, vb1, 1125
g, hl2, 467
o, vb1, 431
l, dc1, 964
d, da1, 610
i, vb1, 110
l, dc1, 1132
o, vb1, 561
c, hl1, 827
c, vb2, 333
k, hr1, 1350
k, hl2, 445
s, hl1, 1107
n, hr1, 437
d, da1, 762
h, hl1, 1143
h, hl1, 1309
r, vt1, 699
b, hl1, 958
b, hr2, 353
r, vt1, 625
s, hl1, 824
r, vt1, 536
v, vt1, 1235
v, hl2, 556
l, dc1, 568
i, vb1, 446
n, hr1, 1330
g, vb1, 916
g, hl2, 733
o, vb1, 540
h, hl1, 948
o, vb1, 534
c, hl1, 846
c, vb2, 578
o, vb1, 701
n, hr1, 731
f, vb1, 1042
f, vt2, 533
r, vt1, 936
n, hr1, 763
c, hl1, 722
c, vb2, 511
